run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR440794	SAMEA2384906	ERX407558	PRJEB5714	ERA290748	749906	gut metagenome	Gazelle2:63	SINGLE	AMPLICON	METAGENOMIC	PCR	440379	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024127:63	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024127:63	seqs_Gazelle2.1032855.fastq.gz_run	27206385	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440794/ERR440794.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440794/seqs_Gazelle2.1032855.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440794	qiime_study_1517:Gazelle2	Gazelle2	
ERR440796	SAMEA2384908	ERX407560	PRJEB5714	ERA290748	410658	soil metagenome	KBS209:93	SINGLE	AMPLICON	METAGENOMIC	PCR	268487	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024129:93	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024129:93	seqs_KBS209.1032961.fastq.gz_run	17768283	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440796/ERR440796.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440796/seqs_KBS209.1032961.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440796	qiime_study_1517:KBS209	KBS209	
ERR440801	SAMEA2384913	ERX407565	PRJEB5714	ERA290748	749906	gut metagenome	Okapi1:159	SINGLE	AMPLICON	METAGENOMIC	PCR	231046	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024134:159	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024134:159	seqs_Okapi1.1032927.fastq.gz_run	14332984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440801/ERR440801.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440801/seqs_Okapi1.1032927.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440801	qiime_study_1517:Okapi1	Okapi1	
ERR440802	SAMEA2384914	ERX407566	PRJEB5714	ERA290748	408170	human gut metagenome	Amz9baby:22	SINGLE	AMPLICON	METAGENOMIC	PCR	102514	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024135:22	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024135:22	seqs_Amz9baby.1032978.fastq.gz_run	5420160	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440802/ERR440802.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440802/seqs_Amz9baby.1032978.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440802	qiime_study_1517:Amz9baby	Amz9baby	
ERR440804	SAMEA2384916	ERX407568	PRJEB5714	ERA290748	408172	marine metagenome	LIS2:107	SINGLE	AMPLICON	METAGENOMIC	PCR	185851	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024137:107	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024137:107	seqs_LIS2.1032963.fastq.gz_run	10803860	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440804/ERR440804.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440804/seqs_LIS2.1032963.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440804	qiime_study_1517:LIS2	LIS2	
ERR440805	SAMEA2384917	ERX407569	PRJEB5714	ERA290748	539655	human skin metagenome	M22Fotl:125	SINGLE	AMPLICON	METAGENOMIC	PCR	314074	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024138:125	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024138:125	seqs_M22Fotl.1032956.fastq.gz_run	18250842	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440805/ERR440805.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440805/seqs_M22Fotl.1032956.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440805	qiime_study_1517:M22Fotl	M22Fotl	
ERR440809	SAMEA2384921	ERX407573	PRJEB5714	ERA290748	408169	metagenomes	P150c:168	SINGLE	AMPLICON	METAGENOMIC	PCR	317871	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024142:168	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024142:168	seqs_P150c.1032954.fastq.gz_run	20889270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440809/ERR440809.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440809/seqs_P150c.1032954.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440809	qiime_study_1517:P150c	P150c	
ERR440813	SAMEA2384925	ERX407577	PRJEB5714	ERA290748	449393	freshwater metagenome	LMEpi20M:108	SINGLE	AMPLICON	METAGENOMIC	PCR	316164	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024146:108	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024146:108	seqs_LMEpi20M.1032904.fastq.gz_run	18249237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440813/ERR440813.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440813/seqs_LMEpi20M.1032904.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440813	qiime_study_1517:LMEpi20M	LMEpi20M	
ERR440823	SAMEA2384935	ERX407587	PRJEB5714	ERA290748	449393	freshwater metagenome	NSB.080710.Epi:157	SINGLE	AMPLICON	METAGENOMIC	PCR	111623	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024156:157	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024156:157	seqs_NSB.080710.Epi.1032934.fastq.gz_run	7076502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440823/ERR440823.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440823/seqs_NSB.080710.Epi.1032934.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440823	qiime_study_1517:NSB.080710.Epi	NSB.080710.Epi	
ERR440829	SAMEA2384941	ERX407593	PRJEB5714	ERA290748	539655	human skin metagenome	M21Plmr:123	SINGLE	AMPLICON	METAGENOMIC	PCR	246969	2018-11-16	unspecified sequencing: qiime_experiment_1517:1024162:123	Parfrey_euk_testing_samples_515_806	qiime_study_1517	qiime_experiment_1517:1024162:123	seqs_M21Plmr.1032861.fastq.gz_run	15181834	ftp.sra.ebi.ac.uk/vol1/fastq/ERR440/ERR440829/ERR440829.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR440/ERR440829/seqs_M21Plmr.1032861.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR440/ERR440829	qiime_study_1517:M21Plmr	M21Plmr	
