run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR2937627	SAMN04262464	SRX1440293	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_001_e2	SINGLE	AMPLICON	METAGENOMIC	PCR	31175	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran water metagenome 001_e2	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_001_e2	seqs_merged_q20_001.e2.fastq	1232124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937627/SRR2937627.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/007/SRR2937627	001_e2	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937628	SAMN04262460	SRX1440294	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_001a	SINGLE	AMPLICON	METAGENOMIC	PCR	33108	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran water metagenome 001a	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_001a	seqs_merged_q20_001a.fastq	1305980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937628/SRR2937628.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/008/SRR2937628	001a	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937629	SAMN04262458	SRX1440295	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_002	SINGLE	AMPLICON	METAGENOMIC	PCR	24795	2016-06-27	Illumina MiSeq sequencing: 16S amplicon sequencing of rural Salvadoran water metagenome 002	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_002	seqs_merged_q20_002.fastq	941748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937629/SRR2937629.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/009/SRR2937629	002	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937632	SAMN04262466	SRX1440298	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_003rf	SINGLE	AMPLICON	METAGENOMIC	PCR	26890	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran water metagenome 003rf	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_003rf	seqs_merged_q20_003rf.fastq	943884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937632/SRR2937632.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/002/SRR2937632	003rf	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937636	SAMN04261144	SRX1440302	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010102	SINGLE	AMPLICON	METAGENOMIC	PCR	35905	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010102	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010102	seqs_merged_q20_010102.fastq	1102496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937636/SRR2937636.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/006/SRR2937636	010102	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937638	SAMN04261146	SRX1440304	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010104	SINGLE	AMPLICON	METAGENOMIC	PCR	40401	2016-06-27	Illumina MiSeq sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010104	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010104	seqs_merged_q20_010104.fastq	1031004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937638/SRR2937638.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/008/SRR2937638	010104	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937644	SAMN04261152	SRX1440310	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010302	SINGLE	AMPLICON	METAGENOMIC	PCR	45337	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010302	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010302	seqs_merged_q20_010302.fastq	1230913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937644/SRR2937644.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/004/SRR2937644	010302	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937645	SAMN04261153	SRX1440311	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010303	SINGLE	AMPLICON	METAGENOMIC	PCR	47349	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010303	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010303	seqs_merged_q20_010303.fastq	1237751	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937645/SRR2937645.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/005/SRR2937645	010303	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937647	SAMN04261155	SRX1440313	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010401	SINGLE	AMPLICON	METAGENOMIC	PCR	29594	2016-06-27	Illumina HiSeq 2500 sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010401	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010401	seqs_merged_q20_010401.fastq	697822	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937647/SRR2937647.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/007/SRR2937647	010401	MIMS Environmental/Metagenome sample from wastewater metagenome	
SRR2937649	SAMN04261157	SRX1440315	PRJNA300541	SRA312534	527639	wastewater metagenome	16S_010404	SINGLE	AMPLICON	METAGENOMIC	PCR	17099	2016-06-27	Illumina MiSeq sequencing: 16S amplicon sequencing of rural Salvadoran human fecal metagenome 010404	Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America	PRJNA300541	16S_010404	seqs_merged_q20_010404.fastq	460133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937649/SRR2937649.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR293/009/SRR2937649	010404	MIMS Environmental/Metagenome sample from wastewater metagenome	
