run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR4557890	SAMEA7221979	ERX4493786	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	151981	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:808-1	ena-RUN-UFPA-03-09-2020-02:15:42:808-1	21846155	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/000/ERR4557890/ERR4557890.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557890/AMI03_S1_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/000/ERR4557890	GUT2	Gut microbiome	
ERR4557894	SAMEA7221983	ERX4493790	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	209754	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:808-5	ena-RUN-UFPA-03-09-2020-02:15:42:808-5	31209305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/004/ERR4557894/ERR4557894.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557894/AMI31_S7_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/004/ERR4557894	GUT6	Gut microbiome	
ERR4557896	SAMEA7221985	ERX4493792	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	91087	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-7	ena-RUN-UFPA-03-09-2020-02:15:42:809-7	13823467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/006/ERR4557896/ERR4557896.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557896/AMI36_S91_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/006/ERR4557896	GUT8	Gut microbiome	
ERR4557897	SAMEA7221986	ERX4493793	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	147286	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-8	ena-RUN-UFPA-03-09-2020-02:15:42:809-8	21132890	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/007/ERR4557897/ERR4557897.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557897/AMI37_S9_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/007/ERR4557897	GUT9	Gut microbiome	
ERR4557893	SAMEA7221982	ERX4493789	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	140900	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:808-4	ena-RUN-UFPA-03-09-2020-02:15:42:808-4	20779295	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/003/ERR4557893/ERR4557893.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557893/AMI28_S6_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/003/ERR4557893	GUT5	Gut microbiome	
ERR4557899	SAMEA7221988	ERX4493795	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	144062	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-10	ena-RUN-UFPA-03-09-2020-02:15:42:809-10	20708668	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/009/ERR4557899/ERR4557899.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557899/AMI41_S11_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/009/ERR4557899	GUT11	Gut microbiome	
ERR4557900	SAMEA7221989	ERX4493796	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	132009	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-11	ena-RUN-UFPA-03-09-2020-02:15:42:809-11	20064361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/000/ERR4557900/ERR4557900.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557900/AMI45_S12_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/000/ERR4557900	GUT12	Gut microbiome	
ERR4557901	SAMEA7221990	ERX4493797	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	107265	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-12	ena-RUN-UFPA-03-09-2020-02:15:42:809-12	15314332	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/001/ERR4557901/ERR4557901.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557901/AMI51_S13_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/001/ERR4557901	GUT13	Gut microbiome	
ERR4557895	SAMEA7221984	ERX4493791	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	100519	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-6	ena-RUN-UFPA-03-09-2020-02:15:42:809-6	17886552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/005/ERR4557895/ERR4557895.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557895/AMI32_S8_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/005/ERR4557895	GUT7	Gut microbiome	
ERR4557905	SAMEA7221994	ERX4493801	PRJEB39990	ERA2827957	9606	Homo sapiens	unspecified	SINGLE	AMPLICON	METAGENOMIC	PCR	178927	2021-08-09	Illumina MiSeq sequencing	Gut microbiome characterization of urban and traditional amazonian populations	ena-STUDY-UFPA-23-08-2020-21:29:00:030-227	ena-EXPERIMENT-UFPA-03-09-2020-02:15:42:809-16	ena-RUN-UFPA-03-09-2020-02:15:42:809-16	26465918	ftp.sra.ebi.ac.uk/vol1/fastq/ERR455/005/ERR4557905/ERR4557905.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR455/ERR4557905/AMI123_S2_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR455/005/ERR4557905	GUT17	Gut microbiome	
